mod_loaded	Mod Melatonin Access charge.	Melatonin Access Mod geladen.	Mod Melatonin Access cargado.	Mod Melatonin Access carregado.
mod_active_help	Melatonin Access est actif. Utilisez les fleches pour naviguer dans les menus.	Melatonin Access ist aktiv. Nutze die Pfeiltasten zur Menunavigation.	Melatonin Access esta activo. Usa las flechas para navegar por los menus.	Melatonin Access esta ativo. Use as setas para navegar nos menus.
debug_enabled	Mode debug active.	Debug-Modus aktiviert.	Modo depuracion activado.	Modo de depuracao ativado.
debug_disabled	Mode debug desactive.	Debug-Modus deaktiviert.	Modo depuracion desactivado.	Modo de depuracao desativado.
rhythm_cues_enabled	Repères contextuels de tutoriel actives.	Kontextbezogene Tutorial-Hinweise aktiviert.	Indicaciones contextuales de tutorial activadas.	Dicas contextuais de tutorial ativadas.
rhythm_cues_disabled	Repères contextuels de tutoriel desactives.	Kontextbezogene Tutorial-Hinweise deaktiviert.	Indicaciones contextuales de tutorial desactivadas.	Dicas contextuais de tutorial desativadas.
menu_positions_enabled	Annonces de position de menu activees.	Menuepositionsansagen aktiviert.	Anuncios de posicion de menu activados.	Anuncios de posicao de menu ativados.
menu_positions_disabled	Annonces de position de menu desactivees.	Menuepositionsansagen deaktiviert.	Anuncios de posicion de menu desactivados.	Anuncios de posicao de menu desativados.
intro_welcome	Appuyez sur {0} pour commencer. Appuyez sur {1} pour changer la langue.	Drucke {0} zum Starten. Drucke {1}, um die Sprache zu aendern.	Pulsa {0} para comenzar. Pulsa {1} para cambiar el idioma.	Pressione {0} para iniciar. Pressione {1} para alterar o idioma.
language_selected	Langue selectionnee.	Sprache ausgewahlt.	Idioma seleccionado.	Idioma selecionado.
language_menu	Menu langue	Sprachmenu	Menu de idioma	Menu de idioma
credits_title	Generique	Credits	Creditos	Creditos
menu_suffix	Menu {0}	{0} Menu	Menu {0}	Menu {0}
order_of	{0} sur {1}	{0} von {1}	{0} de {1}	{0} de {1}
chapter_locked	Chapitre {0} verrouille	Kapitel {0} gesperrt	Capitulo {0} bloqueado	Capitulo {0} bloqueado
option_with_slider	{0} curseur {1}	{0} Regler {1}	{0} deslizador {1}	{0} controle deslizante {1}
slider_value	Curseur {0}	Regler {0}	Deslizador {0}	Controle deslizante {0}
action_key_current_binding	{0}, actuellement assigne a {1}.	{0}, derzeit auf {1} gebunden.	{0}, actualmente asignado a {1}.	{0}, atualmente vinculado a {1}.
state_on	Active	Ein	Activado	Ligado
state_off	Desactive	Aus	Desactivado	Desligado
fullscreen	Plein ecran	Vollbild	Pantalla completa	Tela cheia
windowed	Fenetre	Fenstermodus	Ventana	Janela
calibration_tool_intro	Outil de calibration. Ajustez le decalage pour correspondre au rythme.	Kalibrierungswerkzeug. Passe den Offset an den Beat an.	Herramienta de calibracion. Ajusta el desfase para coincidir con el ritmo.	Ferramenta de calibracao. Ajuste o deslocamento para combinar com a batida.
calibration_offset	Decalage {0}	Offset {0}	Desfase {0}	Deslocamento {0}
calibration_timing_on_time	Au bon moment.	Im Takt.	A tiempo.	No tempo.
calibration_timing_early_ms	En avance de {0} ms.	{0} ms zu frueh.	Temprano por {0} ms.	Adiantado em {0} ms.
